id,experiment_id,master_path,media,variant_path,cta,ad_disclosure,qa_status,draft_url,published,published_at
cnt_001,EXP001,content/master/固定費削減EXP001_master.md,substack,content/drafts/固定費削減EXP001_substack下書き.md,公式LINE(実URL:lin.ee/pzHa7qo),none,PASS(LINE URL挿入済2026-07-30),https://tenshuaimemo.substack.com/publish/post/208959818,no,
cnt_002,EXP001,content/master/固定費削減EXP001_master.md,threads,content/drafts/固定費削減EXP001_threads.md,公式LINE(実URL:lin.ee/pzHa7qo),none,FIX_REQUIRED(URL差替でPASS相当),,no,
cnt_003,EXP002,content/master/AI自動化EXP002_master.md,substack,content/drafts/AI自動化EXP002_substack下書き.md,公式LINE(実URL:lin.ee/pzHa7qo),none,PASS,https://tenshuaimemo.substack.com/publish/post/208961262,no,
cnt_004,EXP002,content/master/AI自動化EXP002_master.md,threads,content/drafts/AI自動化EXP002_threads.md,公式LINE(実URL:lin.ee/pzHa7qo),none,PASS,,no,
cnt_005,EXP003,content/master/法人カード会計EXP003_master.md,substack,content/drafts/法人カード会計EXP003_substack下書き.md,アフィリ法人カード/会計(PR),PR表記あり,FIX_REQUIRED(アフィリンク差替でPASS相当),https://tenshuaimemo.substack.com/publish/post/208963017,no,
cnt_006,EXP003,content/master/法人カード会計EXP003_master.md,threads,content/drafts/法人カード会計EXP003_threads.md,アフィリ法人カード/会計(PR),PR表記あり,FIX_REQUIRED(アフィリンク差替でPASS相当),,no,
cnt_007,EXP004,content/master/決済端末EXP004_master.md,substack,content/drafts/決済端末EXP004_substack下書き.md,アフィリ決済端末(PR),PR表記あり,FIX_REQUIRED(アフィリンク差替でPASS相当),https://tenshuaimemo.substack.com/publish/post/208965488,no,
cnt_008,EXP004,content/master/決済端末EXP004_master.md,threads,content/drafts/決済端末EXP004_threads.md,アフィリ決済端末(PR),PR表記あり,FIX_REQUIRED(アフィリンク差替でPASS相当),,no,
cnt_009,EXP005,content/master/ノーショー予約EXP005_master.md,substack,content/drafts/ノーショー予約EXP005_substack下書き.md,公式LINE(実URL:lin.ee/pzHa7qo),二次SaaSはアフィリ非掲載,PASS(LINE URL挿入済2026-07-30),https://tenshuaimemo.substack.com/publish/post/208967465,no,
cnt_010,EXP005,content/master/ノーショー予約EXP005_master.md,threads,content/drafts/ノーショー予約EXP005_threads.md,公式LINE(実URL:lin.ee/pzHa7qo),,FIX_REQUIRED,,no,
cnt_011,EXP006,content/master/確定申告弥生EXP006_master.md,substack,content/drafts/確定申告弥生EXP006_substack下書き.md,"弥生アフィリ(実リンク,PR)＋二次LINE",PR表記あり,PASS,https://tenshuaimemo.substack.com/publish/post/208973886,no,
cnt_012,EXP006,content/master/確定申告弥生EXP006_master.md,threads,content/drafts/確定申告弥生EXP006_threads.md,"弥生アフィリ(実リンク,PR)",PR表記あり,PASS,,no,
cnt_013,EXP007,content/master/経費弥生EXP007_master.md,substack,content/drafts/経費弥生EXP007_substack下書き.md,"弥生アフィリ(実リンク,PR)＋二次LINE",PR表記あり,PASS,https://tenshuaimemo.substack.com/publish/post/208981290,no,
cnt_014,EXP007,content/master/経費弥生EXP007_master.md,threads,content/drafts/経費弥生EXP007_threads.md,"弥生アフィリ(実リンク,PR)",PR表記あり,PASS,,no,
cnt_015,NOTE01,content/master/note_グレー仕事術_01_master.md,note,content/drafts/note_グレー仕事術_01_本文.md,note有料¥980(off_20),無料/有料の型,PASS,https://editor.note.com/notes/n64f0bf974c94/edit/,no,
cnt_016,NOTE01,content/master/note_017_吃音コールセンター_master.md,note,content/drafts/note_017_吃音コールセンター_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/n8a63c3673702/edit/,no,
cnt_017,NOTE01,content/master/note_031_毒親絶縁15手順_master.md,note,content/drafts/note_031_毒親絶縁15手順_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/n2b51a08d807e/edit/,no,
cnt_018,NOTE01,content/master/note_039_雑談ゼロ職場_master.md,note,content/drafts/note_039_雑談ゼロ職場_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/n0c5087c7e20c/edit/,no,
cnt_019,NOTE01,content/master/note_053_貯まる仕組み_master.md,note,content/drafts/note_053_貯まる仕組み_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/n4c49a7d42eb2/edit/,no,
cnt_020,NOTE01,content/master/note_009_衝動買い停止_master.md,note,content/drafts/note_009_衝動買い停止_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/n905cc42a8090/edit/,no,
cnt_021,NOTE01,content/master/note_046_汚部屋3週間_master.md,note,content/drafts/note_046_汚部屋3週間_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/nd0e80e59ee56/edit/,no,
cnt_022,NOTE01,content/master/note_060_婦人科行けるまで_master.md,note,content/drafts/note_060_婦人科行けるまで_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/ne6e87a27b9be/edit/,no,
cnt_023,NOTE01,content/master/note_067_レス切り出し会話_master.md,note,content/drafts/note_067_レス切り出し会話_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/n6ee8fd9546f7/edit/,no,
cnt_024,NOTE01,content/master/note_088_おひとりさま10準備_master.md,note,content/drafts/note_088_おひとりさま10準備_本文.md,note¥980(off_20),,PASS,https://editor.note.com/notes/naf809cd76a2f/edit/,no,
