video_id,file_path,title,description,tags,category_id,status,uploaded_at,youtube_url
REEL-001,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-001.mp4,広告より先に整える「店頭3点セット」のぼり・POP・ポスター【個人店】,"その広告費、ちょっと待った。

通りすがりのお客さんは、店の前の3秒で「入るかどうか」を決めています。広告で人を呼ぶ前に、まず整えてほしい3つをまとめました。

✓ のぼり（遠くから気づかせる）
✓ POPスタンド（レジ横で背中を押す）
✓ ポスターフレーム（季節の告知をきれいに見せる）

選び方と設置の注意点はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #個人店 #店舗経営 #集客 #開業 #フリーランス","個人店,店舗経営,集客,のぼり,開業,フリーランス,Shorts",22,pending,,
REEL-002,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-002.mp4,帳簿は今日から始められる。簿記の勉強は後でいい【個人事業主】,"帳簿って難しそう…と思ってませんか？

「簿記を勉強してから」は遠回りです。今日から始められる方法が3つあります。

✓ クラウド会計ソフトに連携する
✓ 入出金をその日に記録する
✓ レシートはスマホで撮るだけでOK

詳しい始め方はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #帳簿 #個人事業主 #確定申告 #フリーランス #青色申告","帳簿,個人事業主,確定申告,フリーランス,青色申告,簿記,Shorts",22,pending,,
REEL-003,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-003.mp4,"「口コミ書いたらドリンク無料」はNG。正しい口コミの増やし方3つ","「口コミ書いたらドリンク無料」——実はGoogleのポリシー違反です。

見返り付きの依頼は、積み上げた口コミが一気に削除されるリスクがあります。ルールの内側で口コミを増やす3つの方法を紹介します。

✓ 依頼用リンク・QRコードを作る（無料の公式機能）
✓ 満足度が高い瞬間に「1分で書けます」とひと言添える
✓ 来た口コミには全件返信する

声かけの例文と返信テンプレはブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #Google口コミ #個人店 #店舗経営 #集客 #MEO","Google口コミ,個人店,店舗経営,集客,MEO,Shorts",22,pending,,
REEL-004,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-004.mp4,経費かどうか3秒で判断する「3つの質問」【個人事業主・確定申告】,"そのレシート、捨てる前に。

経費になるかどうかは「3つの質問」でだいたい判断できます。

✓ 仕事のためにお金を使ったか？
✓ 記録・説明できるか？
✓ 事業と関係ない出費が混ざっていないか？

経費一覧と家事按分の考え方はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #経費 #個人事業主 #確定申告 #フリーランス #青色申告","経費,個人事業主,確定申告,フリーランス,青色申告,Shorts",22,pending,,
REEL-005,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-005.mp4,開業届で「期限あり」は2枚だけ。順番を間違えないために【個人事業主】,"開業手続き、何から始めればいい？

期限があるのは実質2枚だけです。

✓ 開業届（開業日から1ヶ月以内）
✓ 青色申告承認申請書（開業日から2ヶ月以内）

これさえ出せば、あとは順番通りに進められます。チェックリストと提出方法はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #開業 #個人事業主 #開業届 #青色申告 #フリーランス","開業,個人事業主,開業届,青色申告,フリーランス,Shorts",22,pending,,
REEL-006,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-006.mp4,「料金いくら？」の返信に消える時間をサイト1枚でなくす方法,"「料金いくらですか？」に毎回返信していませんか？

月2時間半以上かかっているなら、サイトで解決できます。

✓ 料金・サービス内容を明記する
✓ よくある質問をまとめておく
✓ 問合せフォームで事前情報を取る

見積もりシミュレーターの作り方はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #個人事業主 #フリーランス #業務効率化 #ホームページ #集客","個人事業主,フリーランス,業務効率化,ホームページ,集客,Shorts",22,pending,,
REEL-007,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-007.mp4,月末の勤怠集計を3つの基準でクラウド化する方法【個人店・小規模事業主】,"月末に電卓で打ち込んでいませんか？

クラウド勤怠を選ぶ基準は3つです。

✓ 打刻方法（スマホ・タブレット・ICカード）
✓ 給与ソフトとの連携
✓ 月額費用と無料プランの有無

比較表と選び方はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #勤怠管理 #個人店 #小規模事業主 #業務効率化 #クラウド","勤怠管理,個人店,小規模事業主,業務効率化,クラウド,Shorts",22,pending,,
REEL-008,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-008.mp4,予約システム選びは3つの質問で決まる【個人店・フリーランス】,"予約システム、どれを選べばいいかわからない…

3つの質問で絞り込めます。

✓ 取りこぼし（電話・LINE）はあるか？
✓ 客層はどこから来るか？
✓ どこまで自動化したいか？

比較表と選び方はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #予約システム #個人店 #フリーランス #業務効率化 #集客","予約システム,個人店,フリーランス,業務効率化,集客,Shorts",22,pending,,
REEL-009,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-009.mp4,開業ツールは順番が命。最初に固める2つとは？【個人事業主】,"開業したての頃、ツールを入れすぎて混乱していませんか？

最初に固めるのは2つだけです。

✓ お金の入口（決済手段）
✓ 記録の仕組み（会計ソフト）

この2つが決まれば、他のツールは後から足せます。おすすめの組み合わせはブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #開業 #個人事業主 #フリーランス #起業 #業務効率化","開業,個人事業主,フリーランス,起業,業務効率化,Shorts",22,pending,,
REEL-010,products/revenue-intelligence-os/data/instagram_drafts/reels/REEL-010.mp4,「アットホームな職場」で応募が来ない3つの理由と直し方【採用・求人】,"「アットホームな職場」という求人票、応募が来ていませんか？

原因は3つあります。

✓ 競合他社と同じ言葉を使っている
✓ 具体的な仕事内容が書かれていない
✓ 応募者目線のベネフィットがない

求人票の直し方と例文はブログにまとめています。
▼ https://ainetbiz.com/

#Shorts #採用 #求人 #個人店 #小規模事業主 #採用活動","採用,求人,個人店,小規模事業主,採用活動,Shorts",22,pending,,
